date,participant,app_name,app_version,session_id,reporting_time,reporting_mins,reporting_secs,reporting_millis
08/06/2021 23:10:58,P1,GnuCash,2.1.3,d89d3d94-a1a5-4109-b8fc-042394edcc8c,08 min - 40 sec,8,40,520333
08/07/2021 02:14:30,P8,Mileage,3.1.1,e8f0853b-3ccd-4100-ba4c-ea407b0eda76,08 min - 28 sec,8,28,508047
08/07/2021 02:29:35,P8,Mileage,3.1.1,ba76f18f-60e3-4224-afd7-841d6a0f097b,05 min - 37 sec,5,37,337001
08/07/2021 02:47:56,P8,GnuCash,2.1.3,8886939d-eb64-431b-a7cc-a4bd31ef18c5,06 min - 52 sec,6,52,412853
08/07/2021 02:59:42,P8,Mileage,3.1.1,358eed72-964b-40c9-b377-b99892eb903f,06 min - 44 sec,6,44,404800
08/07/2021 18:12:39,P4,Mileage,3.1.1,d9f79890-120f-40a2-87fd-25c3477bba62,11 min - 43 sec,11,43,703252
08/07/2021 18:20:16,P4,GnuCash,2.1.3,705cebd0-ab7f-45bd-8dcb-e3d2ae137372,04 min - 40 sec,4,40,280037
08/07/2021 18:25:42,P4,Mileage,3.1.1,7c681559-1fad-48a6-a145-9be878e547f8,03 min - 11 sec,3,11,191028
08/07/2021 22:18:09,P16,Mileage,3.1.1,c6cb4e44-3ded-4228-a438-38fa52cf7749,22 min - 32 sec,22,32,1352117
08/07/2021 22:31:39,P16,GnuCash,2.1.3,6e849ea9-00aa-4ae6-b705-d14f127aab4f,11 min - 47 sec,11,47,707656
